#separator:tab
#html:true
#columns:Recto	Verso	Tags
#tags column:3
#notetype:Basic (and reversed card)
Le mode de paiement est une allocation de risque	Cash = « je suis sûr de la valeur » (le risque reste chez l'acheteur). Actions = « partageons l'incertitude ». Payer en actions surévaluées transfère le risque au vendeur (AOL) ; payer cash un passif non-borné le garde (Bayer).	Closing::Realite
EBITDA ajusté — le champ de bataille	Les « add-backs » (coûts « exceptionnels », synergies futures) gonflent l'EBITDA. Chaque euro accepté = 6-10 € de prix en plus au multiple courant. Décortique chaque ajustement : one-off réel ou récurrent maquillé ?	Closing::Realite
Le signal du dividende	Augmenter un dividende = signal de confiance fort (on ne le relève que si on peut le tenir). Le couper = aveu de crise, sanction violente. D'où le lissage : calibré sur le cash récurrent, jamais sur une année exceptionnelle.	Closing::Realite
Rachat d'actions — création ou destruction ?	Racheter sous la valeur intrinsèque enrichit les restants ; racheter au sommet du cycle (quand le cash abonde) transfère de la valeur aux vendeurs. Un buyback est un investissement dans son propre titre, à juger comme tel.	Closing::Realite
La hiérarchie de l'allocation du capital	1) Sécurité du bilan, 2) investissements à ROCE &gt; WACC (organique puis M&A discipliné), 3) retour aux actionnaires avec le solde. Inverser cet ordre mène à couper le dividende ET lever du capital au pire moment.	Closing::Realite
Où casse la valeur ? (where does the value break)	La question unique de toute restructuration. Si l'entreprise vaut 80 avec 100 de dette senior, la mezzanine et l'equity valent zéro, et le senior devient propriétaire. La valorisation EST l'enjeu, pas le business plan.	Closing::Realite
La gouvernance n'est pas un sujet « soft »	« Qui peut dire non au patron, et que lui en coûte-t-il ? » Si la réponse est « personne » (dual-class, board captif), les conflits d'intérêts deviennent systémiques (WeWork, Enron, Vivendi). Le risque est dans la structure, pas les comptes.	Closing::Realite
Le tail risk d'un contentieux de masse	Contrairement à une dette, un mass tort n'a ni montant ni échéance : chaque verdict attire de nouveaux plaignants, le passif croît avec le temps. Impossible à borner tant que le produit est en vente (Bayer, amiante).	Closing::Realite
La règle des 40 (Rule of 40) — SaaS	Croissance du CA (%) + marge (%) ≥ 40 % = SaaS sain. Permet d'arbitrer croissance vs rentabilité : une boîte qui croît à 60 % peut brûler du cash (−20 % de marge) et rester « saine ».	Closing::Realite
Reverse break-up fee	Somme que l'ACHETEUR paie s'il ne réalise pas le deal (échec du financement ou du feu vert antitrust). Le miroir du break-up fee. Répartit le risque réglementaire entre les parties.	Closing::Realite
Hell or high water clause	Engagement de l'acheteur de faire TOUT ce que les autorités exigent (cessions comprises) pour obtenir l'autorisation antitrust. Le vendeur adore (certitude de closing) ; l'acheteur prudent la plafonne.	Closing::Realite
Le coût réel d'une reprise distressed	Le prix facial est le plus petit chiffre du dossier. Coût complet = prix + recapitalisation + BFR à reconstituer + plan social + mise à niveau. La discipline : ne reprendre que ce qu'on veut, pas « tout pour simplifier ».	Closing::Realite
Marché mort vs bilan mort	En distressed, on ne rachète qu'une entreprise tuée par son BILAN (trop de dette sur un bon métier), jamais par son MARCHÉ (activité en déclin structurel). Le premier se restructure, le second meurt quoi qu'on fasse.	Closing::Realite
Le pouvoir suit la valeur économique	Depuis la réforme 2021, les actionnaires « hors la monnaie » ne peuvent plus bloquer leur éviction (cross-class cram-down). Celui dont la créance est « dans la monnaie » (le fulcrum) prend les clés. Casino 2023 en est l'illustration.	Closing::Realite
Le calendrier réglementaire structure le deal	Sur les gros dossiers, 6-18 mois entre signing et closing pour antitrust + IEF. Le risque réglementaire se négocie (qui le porte ?), la stratégie de filing s'anticipe dès la LOI. Le régulateur le plus lent fixe le tempo.	Closing::Realite
Pourquoi les sauvetages se jouent en un week-end	Il faut une solution annoncée avant l'ouverture des marchés asiatiques du lundi : une banque en perdition qui ouvre sans plan subit une ruée immédiate. Lehman (2008), Credit Suisse (2023) : même fenêtre de 60 heures.	Closing::Realite
Communication de crise : problème + solution ensemble	On annonce une perte ou un trou UNIQUEMENT accompagné de sa solution financée (underwritten). Révéler la plaie sans le pansement invite chacun à courir vers la sortie (erreur fatale de SVB, mars 2023).	Closing::Realite
Le sandbagging budgétaire	Quand le budget déclenche les bonus, minorer ses prévisions devient rationnel. Le mensonge est dans l'architecture, pas les personnes. Remède : découpler bonus et budget, passer au rolling forecast.	Closing::Realite
La couverture de change — la doctrine	On couvre des expositions RÉELLES (jamais des vues de marché), en dégressif sur l'horizon (les volumes lointains sont incertains), avec un mandat écrit. « Ne pas couvrir » est aussi une position — un pari implicite.	Closing::Realite
Le meilleur hedge est naturel	Avant les dérivés : produire dans la devise où l'on vend, indexer les contrats, adosser la dette aux flux. La couverture naturelle ne coûte pas de prime et ne crée pas de volatilité comptable.	Closing::Realite
Défendre le BBB- vaut tous les sacrifices	La frontière investment grade / high yield est une falaise : sous BBB-, des investisseurs entiers ont l'interdiction de te détenir → ventes forcées, spread qui saute, ratings triggers. Un CFO coupe le dividende plutôt que de tomber (AB InBev).	Closing::Realite
Le retour aux actionnaires doit être couvert par le FCF	Financer dividende ou buyback par la dette ou des cessions d'actifs (Casino) pour « tenir le signal » n'est soutenable que quelques années. Un retour non couvert par le cash récurrent est un appauvrissement structurel.	Closing::Realite
Cash-flow 13 semaines — l'outil roi de la crise	Projection semaine par semaine des mouvements bancaires réels (pas d'EBITDA). Il donne la date du « mur de cash », qui dicte tout le calendrier de restructuration. Premier document exigé par banquiers et administrateurs.	Closing::Realite
Liquidité vs solvabilité — ne pas confondre	Liquidité : actifs sains mais cash décalé → remède = pont (relais, report). Solvabilité : les dettes dépassent la valeur → remède = restructurer le bilan (haircut, conversion). Se tromper de diagnostic aggrave le mal.	Closing::Realite
Le prix d'exclusivité	Le vendeur n'accorde l'exclusivité que contre du prix confirmé, un financement prouvé et un calendrier à déchéance. Une fois seul, l'acheteur renégocie à chaque trouvaille de DD (price chipping). La tension = le levier de prix.	Closing::Realite
Deal fever & coûts irrécupérables	Plus on investit de temps et d'ego dans un deal, plus on veut le gagner à tout prix (escalade d'engagement). Antidote : walk-away price écrit AVANT la première offre. Les meilleurs acquéreurs acceptent de perdre.	Closing::Realite
